,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Time (s).1,Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Time (s).2,Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Sitting,Walking,Running,Biking,RPM,COUNT,Time(m),Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman
3244,162.2712929,-6.054439545,-6.862316132,6.556035042,162.31867219999998,-0.3480052948,0.01489925385,0.07548522949,167.23798259999998,1.112123847,-0.7344674468000001,0.6951441765,0,0,0,1,32,,,-5.791662342285759,-6.791075629263307,6.591216340812009,1.1377110585775088,-0.7503881082972758,0.6981407961753582,-0.49419475561613324,-0.1258909173584015,0.22329132835424842
3245,162.3212929,-5.3985071179999995,-5.878267765,6.256932259,162.3686722,-0.3294243813,0.2400884628,0.3057122231,167.2895177,0.8776348233,-0.33657684920000003,0.513875246,0,0,0,1,32,,,-5.572086190865971,-6.176703552930739,6.421622738688434,0.9467561370310614,-0.46181088948392135,0.5682368498364988,-0.408391193638463,0.052724398460225974,0.2665583306608926
3246,162.37129290000001,-5.673681736,-6.199205398999999,6.498607159,162.41867219999997,-1.337423325,-0.9817514420000001,0.5827012062,167.34105290000002,0.5383855104,-0.05780142173,0.4612660408,0,0,0,1,32,,,-5.628827033757128,-6.191848586362436,6.46067953434667,0.646919510723543,-0.18006909048410263,0.4928243257535367,-0.8921812337869188,-0.45214893305832843,0.43251812247695026
3247,162.4212929,-6.181259155,-6.998707294,6.735795975,162.4686722,-0.06839513779,-0.05742740631,-0.3245992661,167.392588,0.1469087601,0.19340951739999998,0.4104893506,0,0,0,1,32,,,-5.937358910582715,-6.734910800476945,6.600255393957927,0.27979825656673524,0.08038157534000018,0.4347796278037262,-0.4631976764027694,-0.25950608491709326,0.03506793808338221
3248,162.4712929,-5.3985071179999995,-5.753840922999999,6.223432541,162.5186722,-0.6168560982,-0.2358613014,0.002212524414,167.44412309999998,-0.1766875684,0.2919849753,0.1732515544,0,0,0,1,32,,,-5.636411611626604,-6.074594472046666,6.40908043704126,-0.05536583412013657,0.22794624238011668,0.25040697217730357,-0.5432147302398885,-0.24796630781476445,0.01782042743438526
3249,162.5212929,-5.781358719,-5.746662617,6.771687984,162.56867219999998,-0.4626188278,-0.1943454742,-0.5166506767,167.49565819999998,-0.43247985840000003,0.347266674,-0.03199312463,0,0,0,1,32,,,-5.717364187150515,-5.853877514246108,6.593043489422392,-0.3322530277903421,0.31115605738970314,0.051319910070972696,-0.5012447126605403,-0.2217967948822877,-0.26275117496238365
3250,162.5712929,-5.863013744,-5.308476925,6.625426769,162.6186722,-0.6750025748999999,-0.3957500458,-0.3362131119,167.54719340000003,-0.7824189663,0.5225798488000001,-0.20035789910000001,0,0,0,1,32,,,-5.798709079115775,-5.486791618465736,6.609472620715196,-0.6627768889396239,0.4585954717807199,-0.12610848384585643,-0.5917284756637506,-0.3066942413727511,-0.3013151556807745
3251,162.62129290000001,-5.870192051,-5.09073019,7.00139904,162.66867219999997,-0.3274941444,-0.5137200356,-0.4609975815,167.5987285,-0.9329164623999999,0.5877113938,-0.415986985,0,0,0,1,32,,,-5.838632129563243,-5.2202195483402045,6.808310126865464,-0.8611205823193239,0.5486363125584566,-0.33046768842073115,-0.4541294266607329,-0.40773265941452475,-0.3851407427570057
3252,162.6712929,-5.539683342000001,-4.853541851,7.427620411,162.7186722,-0.6874537468,-0.6391427517,0.3094501495,167.6502636,-1.054704189,0.6980457306,-0.6725428104000001,0,0,0,1,32,,,-5.671670023423159,-4.9734244153624045,7.122507145197031,-1.0032548394055256,0.6528291139256066,-0.5716245854312599,-0.5756322019099406,-0.5206717728007368,-0.02051395911346099
3253,162.7212929,-6.025725842000001,-4.437190533,8.303692818,162.7686722,0.3421273232,-1.036180258,-0.7453222275,167.7017988,-1.2002384659999998,0.6050441861,-0.8916842937,0,0,0,1,32,,,-5.869409260162846,-4.612508239226048,7.721762520004322,-1.1478854819383093,0.619505608906612,-0.7972610060510098,-0.09771232951184244,-0.7722643920557768,-0.40100341065162326
3254,162.7712929,-4.514957428,-3.9511482719999997,7.499405384,162.81867219999998,1.312430859,0.4004535675,-1.287314415,167.753334,-1.183363795,0.4777589142,-0.920165062,0,0,0,1,32,,,-5.1129514989691955,-4.167375027226554,7.608953236974197,-1.1739346076271748,0.5206565176166886,-0.8839061867230461,0.6366145111567314,-0.19992234205965886,-0.8662740244779673
3255,162.8212929,-3.339483023,-1.5595221519999998,7.212266445,162.8686722,0.7513313293,-0.9079010487000001,-1.686556816,167.8048691,-1.169314384,0.1719534993,-0.8566369414,0,0,0,1,32,,,-4.1224740517570035,-2.4121403841423925,7.407700633216772,-1.1705423163189612,0.27748346467073903,-0.8646818521992212,0.6963528692055574,-0.5454495687776693,-1.2968830049675264
3256,162.87129290000001,-3.8781673910000003,-2.605484724,7.336693287,162.91867219999997,0.8937430381999999,0.8110466003,-0.8020811081,167.8564042,-1.1889377829999999,0.02641914412,-0.7092700005,0,0,0,1,32,,,-3.9860294286385005,-2.5422722204349473,7.371676208839918,-1.1840487596874338,0.10240015850686576,-0.7551192517289299,0.7991430683718135,0.11658497406891122,-1.0371358268806503
3257,162.9212929,-3.916452408,-0.5156532526,8.107481003,162.9686722,1.084555626,-0.029811084269999996,-0.226360321,167.9079394,-1.123348117,0.0520747304,-0.5380037427000001,0,0,0,1,32,,,-3.947170846786083,-1.1782413525926714,7.744974825529235,-1.1394807257232726,0.06730499915280012,-0.6020566666966283,0.9477706002659699,0.04513674608005447,-0.6115177137869868
3258,162.9712929,-3.68674159,-1.0830513240000001,8.12183857,163.0186722,2.293854952,0.5042561889,-1.359565735,167.9594745,-1.0156862740000001,0.005344913341,-0.3450523317,0,0,0,1,32,,,-3.801721796861671,-1.1141730005634216,7.936170527855003,-1.048587530984836,0.02409624431867631,-0.4208731664656175,1.6487390391473067,0.2692088351419607,-1.0042069168306331
3259,163.0212929,-2.551945448,0.09481559694,7.712366581,163.06867219999998,1.317342281,0.6299473046999999,-0.6201267242,168.0110096,-0.7275190949,-0.01672194339,-0.2344126403,0,0,0,1,32,,,-3.1037250158412566,-0.3004542936747129,7.8226272287772165,-0.8128505058196752,-0.004368904535092238,-0.2894218009538366,1.4761654053370603,0.4452663377245411,-0.8025833037970513
3260,163.0712929,-4.02652216,-0.1923231184,8.085946083,163.1186722,1.5441939830000002,0.3109986782,-1.1678123470000001,168.0625448,-0.2948864996,-0.08338065445000001,-0.12079504880000001,0,0,0,1,32,,,-3.619104776714727,-0.22767580737512266,7.956217774613749,-0.43254749171986623,-0.05946888198907403,-0.17054292993635833,1.5115910351513948,0.3797373442698725,-0.9943109710385674
3261,163.12129290000001,-3.607778311,-0.3888336718,7.528119087,163.16867219999997,1.473889589,0.5998438000999999,-0.5379228592,168.1140799,-0.047340661289999995,-0.02855710872,0.1220930964,0,0,0,1,32,,,-3.612778975484415,-0.3361442985771629,7.739028855594693,-0.1497183435194423,-0.03791211337937424,0.03576028101407891,1.4919581469122878,0.48715974630763004,-0.7547291810061522
3262,163.1712929,-3.9188451769999997,-0.43669012189999995,7.726723194,163.2186722,0.9430375098999999,0.5379134417,-0.2461509705,168.1656151,0.08567132801,0.034131091089999996,0.3322245479,0,0,0,1,32,,,-3.7837161382868496,-0.4038174077343041,7.732785778024737,0.02311104327667121,0.012328248920290344,0.24476233367942382,1.2061097589355183,0.511929959644009,-0.4877501013773029
3263,163.2212929,-4.742574692,-1.049551845,7.631010532,163.2686722,1.607467175,0.9333136082,-0.07893133163,168.2171502,0.2156290859,-0.024052111430000002,0.3618506491,0,0,0,1,32,,,-4.319236101002213,-0.8384337407941649,7.681151759431511,0.16446293453668162,-0.013042117350903444,0.32730752042312206,1.415115146086688,0.7175851892461101,-0.2731399261527323
3264,163.2712929,-4.617848396,-1.116550922,7.942376614,163.31867219999998,0.9117813109999999,0.5147325993,-0.2989420891,168.2686854,0.34703761340000006,-0.1232384369,0.32214558120000003,0,0,0,1,32,,,-4.4860102770927215,-1.0256225644459902,7.813679948309513,0.2985141424179013,-0.08988910185198973,0.32366844480925505,1.1530059163234818,0.618583493012115,-0.28668481967768417
3265,163.3212929,-5.084748268,-2.366202593,7.374978542000001,163.3686722,0.6725459099,0.02626848221,0.3669958115,168.3202205,0.5808393955,-0.09002361447000001,0.396287173,0,0,0,1,32,,,-4.820403859409549,-1.9279098560282568,7.591111912146662,0.5058048873964858,-0.08998290615346786,0.3748633608845661,0.9028081480617558,0.32950564205640925,0.056466046115847324
3266,163.37129290000001,-5.757430553,-3.4962129589999997,7.676474094,163.41867219999997,-0.1051468849,-0.768787384,0.6008038521,168.37175569999997,0.8038749695,-0.3379512429,0.2956500649,0,0,0,1,32,,,-5.3437307864358345,-2.9834678454357526,7.634419029483468,0.7246559065378906,-0.26290718360999804,0.31901939147240405,0.37791929908684363,-0.20651350638748728,0.34221719201627737
3267,163.4212929,-6.138188362,-4.920839787,7.657331467000001,163.4686722,-0.3358430862,-0.9097681045999999,0.8188362122,168.42329080000002,1.075549364,-0.2809133828,0.4825693369,0,0,0,1,32,,,-5.787433238443584,-4.287430342623223,7.646043282517191,0.9822912594653366,-0.275464064943318,0.43431920372008626,0.006230181399145551,-0.5497351438681346,0.5924192350691891
3268,163.4712929,-6.3343997000000005,-5.516951561,7.418049335,163.5186722,-0.08896780014000001,-0.048787117000000005,0.6081471442999999,168.474826,1.214975238,-0.37368580700000004,0.5195255876,0,0,0,1,32,,,-6.092912558748664,-5.114968681658249,7.5303742548887085,1.1531340540531048,-0.3439604060290867,0.4943881938609655,-0.04334381478130706,-0.30524871957553135,0.6006756303463607
3269,163.5212929,-5.860620975,-5.394618511,6.891329288,163.56867219999998,0.443789959,-0.6944346428,0.9628863335,168.5263611,1.327752829,-0.38926240799999995,0.708506465,0,0,0,1,32,,,-5.963178324693786,-5.303189065329841,7.206165165851271,1.2813438243961766,-0.3755524071019664,0.6453377792802404,0.21032929307224257,-0.4951899303391578,0.7908188141183243
3270,163.5712929,-5.326722145,-6.5775704379999995,6.898507595,163.6186722,-0.2469725609,-0.45625495909999997,1.2961673740000001,168.57789619999997,1.224137902,-0.45004171130000004,0.8211314082,0,0,0,1,32,,,-5.607719233947354,-6.160920862890633,7.050080092023148,1.239341707736731,-0.42749859216622155,0.7692691713609165,-0.02780895308224071,-0.4761878155764412,1.0561024824302367
