,Unnamed: 0,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman,Acceleration x (m/s^2)_kalman_max_freq,Acceleration y (m/s^2)_kalman_max_freq,Acceleration z (m/s^2)_kalman_max_freq,Gyroscope x (rad/s)_kalman_max_freq,Gyroscope y (rad/s)_kalman_max_freq,Gyroscope z (rad/s)_kalman_max_freq,Linear Acceleration x (m/s^2)_kalman_max_freq,Linear Acceleration y (m/s^2)_kalman_max_freq,Linear Acceleration z (m/s^2)_kalman_max_freq
44,44,2.42,-7.12,-2.12,6.64,0.333,-1.82,0.395,-0.691,-0.405,0.701,2420000000.0,-7.274657735013927,-1.652448153515642,5.902263769760193,-0.024105784406526776,-1.6902385205362565,0.4178632195186212,-0.5310523099875177,-0.4274334759236308,-0.4993308539137251,,,,,,,,,
45,45,2.47,-7.09,-4.73,7.29,0.292,-1.35,0.0897,-0.977,-1.54,-2.07,2470000000.0,-7.15656464504448,-3.6371904203033902,6.760814455852152,0.1864444470783583,-1.465728810237796,0.1968355365372303,-0.7949355507464497,-1.142883195948631,-1.446608818852424,,,,,,,,,
46,46,2.52,-6.7,-3.28,7.33,-0.15,-0.354,-0.0783,-1.77,-1.54,-0.28600000000000003,2520000000.0,-6.864580143134456,-3.4068349259945236,7.112952403052748,-0.03765287073519197,-0.7321436484758728,0.011523575651135542,-1.3719161443178116,-1.3982540727247663,-0.7466401482814506,,,,,,,,,
47,47,2.57,-6.98,-3.5,7.79,-1.21,0.7340000000000001,0.339,-2.0,-1.98,-0.846,2570000000.0,-6.938394007772208,-3.4669179622014736,7.53182138509482,-0.8185242846948023,0.2353056409941847,0.23208867166860125,-1.7435758876613117,-1.7723530409254706,-0.8065645551964803,,,,,,,,,
48,48,2.62,-5.29,-2.73,7.09,-0.428,0.115,-0.634,0.214,2.1,0.095,2620000000.0,-5.884205255746252,-2.9916726201980195,7.258479863514439,-0.5584057324163213,0.15592078478030558,-0.35124779272163065,-0.5852080264632701,0.7178116959919227,-0.2628267002799308,,,,,,,,,
49,49,2.67,-5.02,0.388,7.71,-0.136,0.266,0.0799,0.383,1.48,0.17,2670000000.0,-5.331524613389009,-0.8120898177128986,7.537821829173278,-0.27705174024232937,0.22855763671729706,-0.060856942150273374,-0.012284620914483235,1.2079463794032244,-0.0017868651535471456,,,,,,,,,
50,50,2.72,-9.38,0.462,7.42,-0.116,0.274,0.463,-1.08,-1.36,-1.23,2720000000.0,-7.920624802525957,0.009582748005727336,7.464929050742129,-0.16977916243778013,0.2585432187509066,0.2919762780737209,-0.6440901292310861,-0.4434034964498861,-0.7425280386241577,,,,,,,,,
51,51,2.77,-6.98,-3.96,6.16,-0.0648,0.596,0.826,-1.98,0.904,0.181,2770000000.0,-7.319071994781186,-2.5504386850570238,6.657608560576894,-0.09985514336283734,0.4812173972032505,0.651657110273179,-1.4345959228398009,0.4230610746381411,-0.1855439055023368,,,,,,,,,
52,52,2.82,-6.65,0.52,7.54,0.217,0.324,-0.573,2.41,4.1,-1.4,2820000000.0,-6.8911839710378615,-0.5702837878617175,7.203517608192617,0.11119421557922514,0.3774759557473352,-0.17318586190668886,0.8403894201442976,2.7875623334289865,-0.91798811686333,,,,,,,,,
53,53,2.87,-6.55,0.5870000000000001,7.01,0.463,0.621,0.128,0.225,3.31,0.4970000000000001,2870000000.0,-6.672988507119794,0.17605946592692456,7.083794220040993,0.34552333547121666,0.5381676803379687,0.02967177198877477,0.4762414260615933,3.1235223376782115,-0.06460207281915897,,,,,,,,,
