,Unnamed: 0,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Time (s).1,Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Time (s).2,Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Sitting,Walking,Running,Bikking,Unnamed: 16,Unnamed: 17,Unnamed: 18,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman,Acceleration x (m/s^2)_kalman_max_freq,Acceleration y (m/s^2)_kalman_max_freq,Acceleration z (m/s^2)_kalman_max_freq,Gyroscope x (rad/s)_kalman_max_freq,Gyroscope y (rad/s)_kalman_max_freq,Gyroscope z (rad/s)_kalman_max_freq,Linear Acceleration x (m/s^2)_kalman_max_freq,Linear Acceleration y (m/s^2)_kalman_max_freq,Linear Acceleration z (m/s^2)_kalman_max_freq
40,40,2.000985282,-4.493422031000001,-8.835198402,3.362514019,2.143499709,-0.5631310939999999,-1.468317032,-0.5350809097,2.14130372,0.9269607067,-0.27365958690000003,-0.2778591514,0,0,0,1,,,,-4.561115817819774,-8.819033095189088,3.2952073428745066,0.7545527557306162,-0.2066561560959465,-0.2680081510681639,-0.333807077113603,-1.3444392911569798,-0.7772708472748843,,,,,,,,,
41,41,2.050985282,-4.337888241,-7.997112274,5.028815746,2.193499709,0.8773450851000001,2.56481123,-0.3170080185,2.19130372,0.1281252056,-0.4993676245000001,-0.7795938253,0,0,0,1,,,,-4.442032797265334,-8.239094961172384,4.115550012435175,0.2548233298039433,-0.4170998556445267,-0.6529885408305136,0.5234599252979145,1.45025321916674,-0.447665733313728,,,,,,,,,
42,42,2.100985282,-4.254139423,-9.553344727,3.640081406,2.243499709,0.8773450851000001,2.56481123,-0.3170080185,2.24130372,-0.4652365446,-0.5637356639,-0.3347443044,0,0,0,1,,,,-4.341799166610371,-9.166414889176083,3.8905584945015006,-0.3196008116932042,-0.5225230634869084,-0.4135021823670672,0.7739437865608192,2.2470419917848186,-0.3540986488346014,,,,,,,,,
43,43,2.150985282,-1.668395638,-3.477070332,4.537988186000001,2.293499709,0.8773450851000001,2.56481123,-0.3170080185,2.29130372,-0.009544488043,-0.3156553209,-0.5531222224,0,0,0,1,,,,-2.9156448734765705,-5.152077033100278,4.19692191563437,-0.07225493969338914,-0.3737963555616221,-0.5185695838654746,0.8471323784192234,2.4742127255327984,-0.3275371698796488,,,,,,,,,
44,44,2.200985282,-3.557528973,-7.705187798,3.723830223,2.293499709,-0.8066146374,-0.3256206512,-0.09865808487,2.34130372,0.2695363462,-0.1507265568,-0.7491278052,0,0,0,1,,,,-3.2580644723357306,-6.953523419182657,3.97305515238746,0.20040733874410294,-0.21342124635891907,-0.6920701300863485,-0.3234081953878988,0.4726338227540965,-0.1636314356323355,,,,,,,,,
45,45,2.250985282,-3.557528973,-7.705187798,3.723830223,2.393499709,-0.8066146374,-0.3256206512,-0.09865808487,2.39130372,0.04230117425,-0.2301367074,-0.79394871,0,0,0,1,,,,-3.417816854732778,-7.483889393431316,3.8551220347229207,0.07427894160613592,-0.22543875795610696,-0.7687361849867856,-0.6654271018281555,-0.09803203452783538,-0.11710248012365675,,,,,,,,,
46,46,2.300985282,-2.53280282,-8.619544982999999,5.064708233,2.443499709,-0.8066146374,-0.3256206512,-0.09865808487,2.44130372,0.2454078794,-0.4291965663,-0.7898254991,0,0,0,1,,,,-2.9456971198940582,-8.285195269380942,4.427497646709303,0.2107961905785881,-0.3719295915390581,-0.7846063955090405,-0.7653612134515806,-0.26073335008188336,-0.10389401178866872,,,,,,,,,
47,47,2.350985282,-2.28365016,-8.521439552,3.901198149,2.493499709,-0.5075274706,0.331404686,-0.5828232765,2.49130372,0.3951418102000001,-0.2377723008,-0.7791357040000001,0,0,0,1,,,,-2.592521437882983,-8.45188659184001,4.178452975312947,0.35785698099398144,-0.2754777622748098,-0.780489570039261,-0.5828636159138754,0.16258148369814268,-0.4468666026864244,,,,,,,,,
48,48,2.400985282,-1.989332914,-8.78973484,4.94955349,2.543499709,-0.4572885036,-1.03440094,-0.09809827805,2.54130372,0.1042258143,0.02596100792,-0.6918608545999999,0,0,0,1,,,,-2.270744387263462,-8.690268535496967,4.543337370893299,0.15552399406082582,-0.05875960521372184,-0.7137943533434548,-0.4939801515356466,-0.6931318548259591,-0.19710534411669886,,,,,,,,,
49,49,2.450985282,-1.989332914,-8.78973484,4.94955349,2.593499709,-0.4572885036,-1.03440094,-0.09809827805,2.59130372,0.1876828223,0.05123481527,-0.29809346800000003,0,0,0,1,,,,-2.1206225758705717,-8.76045084720365,4.735558644537528,0.1811785375037847,0.02032042844796507,-0.4009695481713534,-0.4680093941202165,-0.937102444862914,-0.1262040389174095,,,,,,,,,
50,50,2.500985282,-1.553540111,-9.71605587,4.456632137,2.643499709,-0.4572885036,-1.03440094,-0.09809827805,2.64130372,0.2255553454,-0.203641206,-0.05245650932,0,0,0,1,,,,-1.8181066691212249,-9.434715058107669,4.603570754362026,0.21657991271328084,-0.1406958623356357,-0.1387051958233072,-0.4604210283263159,-1.0066603752156655,-0.10607683781444346,,,,,,,,,
51,51,2.550985282,-0.9957132936,-9.536594391,5.215456009,2.693499709,0.2050295472,0.665810585,-0.8620147705,2.69130372,0.2877090573,-0.3735330999,-0.1720298529,0,0,0,1,,,,-1.3793925614809472,-9.506599975274376,4.893114564940965,0.273322829912793,-0.30809323124352195,-0.16378279299347812,0.010592307507160116,0.1889759856073967,-0.6474218973595144,,,,,,,,,
